service_id,date
20923,20130404
2093,20130404
20935,20130404
2095,20130404
2099,20130404
20999,20130404
21B,20130404
21C,20130404
21S,20130404
21T,20130404
21145,20130404
218,20130404
23456,20130404
2905,20130404
UAGf5,20130405
UAGf6,20130405
UAGGG,20130405
UAGn6,20130405
UAGsV,20130405
UAGs5,20130405
UAGs6,20130405
URvac,20130405
URvds,20130405
URvfV,20130405
URvf5,20130405
URvf6,20130405
URvGG,20130405
URvQ,20130405
URvsV,20130405
URvs5,20130405
URvs6,20130405
URvVS,20130405
URvxG,20130405
URvxL,20130405
URvyG,20130405
UTnac,20130405
UTnds,20130405
UTnfV,20130405
UTnf5,20130405
UTnf6,20130405
UTnGG,20130405
UTnQ,20130405
UTnR,20130405
UTnsV,20130405
UTns5,20130405
UTns6,20130405
UTnTR,20130405
UTnu5,20130405
UTnVS,20130405
UTnwG,20130405
UTnxG,20130405
UTnxL,20130405
UTnyG,20130405
UTnZ,20130405
2DA,20130405
2DC,20130405
2DF,20130405
2DI,20130405
2DP,20130405
2DQ,20130405
2DT,20130405
2DV,20130405
2DX,20130405
2D015,20130405
2D125,20130405
2D145,20130405
2D15,20130405
2D345,20130405
2D45,20130405
2D5,20130405
2D56,20130405
2D8,20130405
2D88,20130405
2FC,20130405
2FER,20130405
2FERV,20130405
2FER5,20130405
2FER9,20130405
2F5,20130405
2F8,20130405
2GA,20130405
2G8,20130405
2HA,20130405
2HC,20130405
2HF,20130405
2HL,20130405
2H8,20130405
2M8,20130405
2RA,20130405
2RF,20130405
2RX,20130405
2R15,20130405
2R8,20130405
2U8,20130405
2V8,20130405
20A,20130405
20AA,20130405
20AAA,20130405
20A6,20130405
20C,20130405
20CC,20130405
20E,20130405
20E2,20130405
20F,20130405
20FF,20130405
20F2,20130405
20F6,20130405
20I,20130405
20I6,20130405
20L,20130405
20LL,20130405
20MGV,20130405
20P,20130405
20P6,20130405
20Q,20130405
20QQ,20130405
20T,20130405
20V,20130405
20W,20130405
20X,20130405
20Y,20130405
20045,20130405
20125,20130405
20145,20130405
2015,20130405
20156,20130405
20245,20130405
2025,20130405
20256,20130405
20345,20130405
2035,20130405
2045,20130405
20456,20130405
205,20130405
2055,20130405
2056,20130405
208,20130405
208BB,20130405
2081,20130405
2082,20130405
2083,20130405
2088,20130405
2088B,20130405
20888,20130405
209,20130405
209MD,20130405
209ML,20130405
209TN,20130405
2091,20130405
2092,20130405
20923,20130405
20924,20130405
2093,20130405
2094,20130405
2099,20130405
20999,20130405
21A,20130405
21C,20130405
21F,20130405
21T,20130405
21145,20130405
21235,20130405
218,20130405
23456,20130405
2924,20130405
